frame,time,track_id,x1,y1,x2,y2,conf
127,1765118481.6688268,1,99,63,583,478,
128,1765118482.1104507,1,109,61,589,478,
129,1765118482.5058494,1,116,60,585,479,
130,1765118482.8902483,1,112,62,582,479,
131,1765118483.29881,1,126,63,580,479,
132,1765118483.6728337,1,115,60,585,479,
133,1765118484.0828667,1,7,58,586,479,
134,1765118484.493694,1,62,56,577,478,
135,1765118484.889902,1,48,57,597,478,
136,1765118485.3136816,1,56,57,574,479,
137,1765118485.6971807,1,54,55,580,479,
138,1765118486.1069531,1,50,56,583,479,
139,1765118486.5343108,1,51,63,586,479,
140,1765118486.9381614,1,78,64,583,479,
