time,zone_3
20:14:29,14
20:14:31,14,10,7,13
20:14:33,14,11,8,13
20:14:35,16,11,8,13
20:14:37,17,11,8,13
20:14:40,17,11,8,13
20:14:42,18,11,8,13
20:14:44,19,12,8,13
20:14:46,19,12,8,14
20:14:48,19,13,9,14
20:14:51,19,15,11,16
20:14:53,19,15,12,16
20:14:55,19,16,13,16
20:14:57,19,17,13,17
20:17:28,14
20:17:30,14,10,7,13
20:17:32,15,11,8,13
20:17:34,16,11,8,13
17:54:26,12
17:54:28,14,10,7,13
17:54:32,14,10,7,13
17:54:34,14,11,8,13
17:54:38,14,11,8,13
17:54:41,14,11,8,13
17:54:44,14,11,8,13
17:54:47,14,11,8,13
17:54:51,15,11,8,13
17:54:53,16,11,8,13
17:54:56,16,11,8,13
17:55:00,16,11,8,13
17:55:04,17,11,8,13
17:55:08,17,11,8,13
17:55:11,17,11,8,13
17:55:14,17,11,8,13
17:55:16,17,11,8,13
17:55:19,17,11,8,13
17:55:22,17,11,8,13
17:55:24,17,11,8,13
17:55:28,18,11,8,13
17:55:32,19,11,8,13
18:13:01,13
18:13:01,13,10
18:13:01,13,10,7
18:13:01,13,10,7,13
18:13:03,14,10,7,13
18:13:03,14,10,7,13
18:13:03,14,10,7,13
18:13:03,14,10,7,13
18:13:07,14,10,7,13
18:13:07,14,10,7,13
18:13:07,14,10,7,13
18:13:07,14,10,7,13
18:13:11,14,10,7,13
18:13:11,14,11,7,13
18:13:11,14,11,8,13
18:13:11,14,11,8,13
18:13:14,15,11,8,13
18:13:14,15,11,8,13
18:13:14,15,11,8,13
18:13:14,15,11,8,13
18:13:18,15,11,8,13
18:13:18,15,11,8,13
18:13:18,15,11,8,13
18:13:18,15,11,8,13
18:13:21,15,11,8,13
18:13:21,15,11,8,13
18:13:21,15,11,8,13
18:13:21,15,11,8,13
18:13:25,15,11,8,13
18:13:25,15,11,8,13
18:13:25,15,11,8,13
18:13:25,15,11,8,13
18:13:30,17,11,8,13
18:13:30,17,11,8,13
18:13:30,17,11,8,13
18:13:30,17,11,8,13
18:13:32,17,11,8,13
18:13:32,17,11,8,13
18:13:32,17,11,8,13
18:13:32,17,11,8,13
18:13:36,17,11,8,13
18:13:36,17,11,8,13
18:13:36,17,11,8,13
18:13:36,17,11,8,13
18:13:40,17,11,8,13
18:13:40,17,11,8,13
18:13:40,17,11,8,13
18:13:40,17,11,8,13
18:39:45,13
18:39:45,13,10
18:39:45,13,10,7
18:39:45,13,10,7,13
18:39:51,14,10,7,13
18:39:51,14,10,7,13
18:39:51,14,10,7,13
18:39:51,14,10,7,13
18:39:54,14,10,7,13
18:39:54,14,10,7,13
18:39:54,14,10,7,13
18:39:54,14,10,7,13
18:39:57,14,10,7,13
18:39:57,14,10,7,13
18:39:57,14,10,7,13
18:39:57,14,10,7,13
18:40:00,14,10,7,13
18:40:00,14,11,7,13
18:40:00,14,11,8,13
18:40:00,14,11,8,13
18:40:03,14,11,8,13
18:40:03,14,11,8,13
18:40:03,14,11,8,13
18:40:03,14,11,8,13
18:40:05,14,11,8,13
18:40:05,14,11,8,13
18:40:05,14,11,8,13
18:40:05,14,11,8,13
18:40:09,14,11,8,13
18:40:09,14,11,8,13
18:40:09,14,11,8,13
18:40:09,14,11,8,13
18:40:13,14,11,8,13
18:40:13,14,11,8,13
18:40:13,14,11,8,13
18:40:13,14,11,8,13
18:40:16,14,11,8,13
18:40:16,14,11,8,13
18:40:16,14,11,8,13
18:40:16,14,11,8,13
18:40:19,14,11,8,13
18:40:19,14,11,8,13
18:40:19,14,11,8,13
18:40:19,14,11,8,13
18:40:23,14,11,8,13
18:40:23,14,11,8,13
18:40:23,14,11,8,13
18:40:23,14,11,8,13
18:40:26,14,11,8,13
18:40:26,14,11,8,13
18:40:26,14,11,8,13
18:40:26,14,11,8,13
18:40:29,15,11,8,13
18:40:29,15,11,8,13
18:40:29,15,11,8,13
18:40:29,15,11,8,13
18:40:32,15,11,8,13
18:40:32,15,11,8,13
18:40:32,15,11,8,13
18:40:32,15,11,8,13
18:40:35,16,11,8,13
18:40:35,16,11,8,13
18:40:35,16,11,8,13
18:40:35,16,11,8,13
19:01:34,14
19:01:34,14,10
19:01:34,14,10,7
19:01:34,14,10,7,13
19:01:37,14,10,7,13
19:01:37,14,10,7,13
19:01:37,14,10,7,13
19:01:37,14,10,7,13
19:01:40,14,10,7,13
19:01:40,14,10,7,13
19:01:40,14,10,7,13
19:01:40,14,10,7,13
19:01:42,14,10,7,13
19:01:42,14,11,7,13
19:01:42,14,11,8,13
19:01:42,14,11,8,13
19:01:46,14,11,8,13
19:01:46,14,11,8,13
19:01:46,14,11,8,13
19:01:46,14,11,8,13
19:01:48,14,11,8,13
19:01:48,14,11,8,13
19:01:48,14,11,8,13
19:01:48,14,11,8,13
19:01:50,14,11,8,13
19:01:50,14,11,8,13
19:01:50,14,11,8,13
19:01:50,14,11,8,13
19:01:52,14,11,8,13
19:01:52,14,11,8,13
19:01:52,14,11,8,13
19:01:52,14,11,8,13
19:01:55,14,11,8,13
19:01:55,14,11,8,13
19:01:55,14,11,8,13
19:01:55,14,11,8,13
19:01:57,15,11,8,13
19:01:57,15,11,8,13
19:01:57,15,11,8,13
19:01:57,15,11,8,13
19:02:00,15,11,8,13
19:02:00,15,11,8,13
19:02:00,15,11,8,13
19:02:00,15,11,8,13
19:02:03,16,11,8,13
19:02:03,16,11,8,13
19:02:03,16,11,8,13
19:02:03,16,11,8,13
19:02:44,14
19:02:44,14,10
19:02:44,14,10,7
19:02:44,14,10,7,13
19:02:47,14,10,7,13
19:02:47,14,10,7,13
19:02:47,14,10,7,13
19:02:47,14,10,7,13
19:02:50,14,10,7,13
19:02:50,14,10,7,13
19:02:50,14,10,7,13
19:02:50,14,10,7,13
19:02:53,14,10,7,13
19:02:53,14,11,7,13
19:02:53,14,11,8,13
19:02:53,14,11,8,13
19:05:23,14
19:05:23,14,10
19:05:23,14,10,7
19:05:23,14,10,7,13
19:05:27,14,10,7,13
19:05:27,14,10,7,13
19:05:27,14,10,7,13
19:05:27,14,10,7,13
19:05:30,14,10,7,13
19:05:30,14,11,7,13
19:05:30,14,11,8,13
19:05:30,14,11,8,13
19:05:34,14,11,8,13
19:05:34,14,11,8,13
19:05:34,14,11,8,13
19:05:34,14,11,8,13
19:05:38,14,11,8,13
19:05:38,14,11,8,13
19:05:38,14,11,8,13
19:05:38,14,11,8,13
19:05:41,14,11,8,13
19:05:41,14,11,8,13
19:05:41,14,11,8,13
19:05:41,14,11,8,13
19:05:46,15,11,8,13
19:05:46,15,11,8,13
19:05:46,15,11,8,13
19:05:46,15,11,8,13
19:05:50,16,11,8,13
19:05:50,16,11,8,13
19:05:50,16,11,8,13
19:05:50,16,11,8,13
19:06:42,14
19:06:42,14,10
19:06:42,14,10,7
19:06:42,14,10,7,13
19:06:44,14,10,7,13
19:06:44,14,10,7,13
19:06:44,14,10,7,13
19:06:44,14,10,7,13
19:06:48,14,10,7,13
19:06:48,14,11,7,13
19:06:48,14,11,8,13
19:06:48,14,11,8,13
19:06:52,14,11,8,13
19:06:52,14,11,8,13
19:06:52,14,11,8,13
19:06:52,14,11,8,13
19:06:56,14,11,8,13
19:06:56,14,11,8,13
19:06:56,14,11,8,13
19:06:56,14,11,8,13
19:06:59,14,11,8,13
19:06:59,14,11,8,13
19:06:59,14,11,8,13
19:06:59,14,11,8,13
